PID,attencheck1,q1,q1ans,q2,q2ans,q3,q3ans,q4,q4ans,q5,q5ans,q6,q6ans,q7,q7ans,q8,q8ans,q9,q9ans,q10,q10ans,first_deckA_mental,first_deckA_boredom,first_deckB_mental,first_deckB_boredom,q11,q11ans,q12,q12ans,q13,q13ans,q14,q14ans,q15,q15ans,q16,q16ans,q17,q17ans,q18,q18ans,q19,q19ans,q20,q20ans,second_deckA_mental,second_deckA_boredom,second_deckB_mental,second_deckB_boredom,q21,q21ans,q22,q22ans,q23,q23ans,q24,q24ans,q25,q25ans,q26,q26ans,q27,q27ans,q28,q28ans,q29,q29ans,q30,q30ans,third_deckA_mental,third_deckA_boredom,third_deckB_mental,third_deckB_boredom,q31,q31ans,q32,q32ans,q33,q33ans,q34,q34ans,q35,q35ans,q36,q36ans,q37,q37ans,q38,q38ans,q39,q39ans,q40,q40ans,fourth_deckA_mental,fourth_deckA_boredom,fourth_deckB_mental,fourth_deckB_boredom,q41,q41ans,q42,q42ans,q43,q43ans,q44,q44ans,q45,q45ans,q46,q46ans,q47,q47ans,q48,q48ans,q49,q49ans,q50,q50ans,fifth_deckA_mental,fifth_deckA_boredom,fifth_deckB_mental,fifth_deckB_boredom,q51,q51ans,q52,q52ans,q53,q53ans,q54,q54ans,q55,q55ans,q56,q56ans,q57,q57ans,q58,q58ans,q59,q59ans,q60,q60ans,sixth_deckA_mental,sixth_deckA_boredom,sixth_deckB_mental,sixth_deckB_boredom,q61,q61ans,q62,q62ans,q63,q63ans,q64,q64ans,q65,q65ans,q66,q66ans,q67,q67ans,q68,q68ans,q69,q69ans,q70,q70ans,seventh_deckA_mental,seventh_deckA_boredom,seventh_deckB_mental,seventh_deckB_boredom,q71,q71ans,q72,q72ans,q73,q73ans,q74,q74ans,q75,q75ans,q76,q76ans,q77,q77ans,q78,q78ans,q79,q79ans,q80,q80ans,eigth_deckA_mental,eigth_deckA_boredom,eigth_deckB_mental,eigth_deckB_boredom,selfadmit,attencheck2,nfc_1r,nfc_2r,nfc_3r,nfc_4r,nfc_5r,nfc_6r,nfc_7r,nfc_8r,nfc_9r,nfc_10r,nfc_11r,nfc_12r,nfc_13r,nfc_14r,nfc_15r,nfc_16r,nfc_17r,nfc_18r,bps_1r,bps_2r,bps_3r,bps_4r,bps_5r,bps_6r,bps_7r,bps_8r,moe_1r,moe_2r,moe_3r,moe_4r,moe_5r,moe_6r,moe_7r,moe_8r,moe_9r,moe_10r,moe_11r,moe_12r,moe_13r,moe_14r,moe_15r,moe_16r,moe_17r,moe_18r
162,Green,DO NOTHING, ,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,ADD 3,incorrect,ADD 3,incorrect,DO NOTHING, ,ADD 3,incorrect,DO NOTHING, ,ADD 3,correct,2.04,7,7,5.19,DO NOTHING, ,DO NOTHING, ,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,DO NOTHING, ,ADD 3,correct,ADD 3,correct,DO NOTHING, ,ADD 3,incorrect,0.97,7,7,5.97,DO NOTHING, ,DO NOTHING, ,ADD 3,correct,ADD 3,correct,DO NOTHING, ,ADD 3,correct,DO NOTHING, ,ADD 3,correct,DO NOTHING, ,ADD 3,correct,0.89,7,7,0,DO NOTHING, ,ADD 3,correct,ADD 3,correct,DO NOTHING, ,DO NOTHING, ,ADD 3,correct,DO NOTHING, ,ADD 3,correct,DO NOTHING, ,ADD 3,incorrect,1.05,7,7,0,DO NOTHING, ,ADD 3,correct,ADD 3,correct,ADD 3,correct,DO NOTHING, ,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,ADD 3,incorrect,ADD 3,correct,1.04,0,7,0,ADD 3,incorrect,ADD 3,incorrect,ADD 3,correct,ADD 3,correct,DO NOTHING, ,DO NOTHING, ,ADD 3,correct,ADD 3,incorrect,ADD 3,correct,ADD 3,incorrect,0.92,0,7,0,DO NOTHING, ,DO NOTHING, ,ADD 3,correct,ADD 3,correct,ADD 3,incorrect,ADD 3,correct,DO NOTHING, ,DO NOTHING, ,ADD 3,incorrect,ADD 3,incorrect,0.97,0,7,0,DO NOTHING, ,ADD 3,correct,ADD 3,incorrect,ADD 3,correct,ADD 3,correct,DO NOTHING, ,ADD 3,incorrect,DO NOTHING, ,ADD 3,incorrect,ADD 3,incorrect,0.98,0,7,0,No,Blue,4,3,1,2,3,4,3,1,2,4,5,1,3,3,2,5,3,4,4,3,5,6,1,3,1,1,5,4,5,4,5,5,1,1,4,1,5,5,1,4,3,3,3,1
163,Green,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,DO NOTHING, ,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,5.07,0.44,7,0.22,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,DO NOTHING, ,3.85,0.78,7,0.25,ADD 3,correct,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,DO NOTHING, ,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,ADD 3,correct,3.04,0.56,7,0.22,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,4.17,0.27,7,0.19,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,ADD 3,correct,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,3.95,0.47,7,0.19,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,2.59,0.31,7,0,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,3.25,0.48,7,0.25,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,4.09,0.28,7,0.19,No,Blue,5,2,2,5,4,1,4,5,4,3,5,1,2,3,5,3,1,2,6,3,5,6,3,3,3,6,5,1,4,3,5,5,3,3,5,3,5,5,3,5,4,4,1,1
164,Green,DO NOTHING, ,ADD 3,incorrect,ADD 3,correct,DO NOTHING, ,ADD 3,correct,ADD 3,correct,DO NOTHING, ,DO NOTHING, ,ADD 3,correct,DO NOTHING, ,0,7,5.6,1.36,ADD 3,correct,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,ADD 3,correct,ADD 3,correct,DO NOTHING, ,DO NOTHING, ,0,7,6.03,1.8,DO NOTHING, ,DO NOTHING, ,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,ADD 3,correct,0,7,5.77,1.85,DO NOTHING, ,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,ADD 3,incorrect,ADD 3,correct,0,7,5.67,1.59,ADD 3,incorrect,ADD 3,correct,ADD 3,correct,ADD 3,correct,ADD 3,correct,ADD 3,correct,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,0,6.28,5.12,1.75,DO NOTHING, ,DO NOTHING, ,ADD 3,correct,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,0.02,6.38,5.48,2.08,ADD 3,incorrect,ADD 3,correct,ADD 3,correct,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,ADD 3,correct,DO NOTHING, ,DO NOTHING, ,0,5.9,4.19,2.93,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,0.15,7,2.44,4.56,Yes,Blue,2,3,2,4,2,1,2,5,5,4,3,2,1,2,2,4,1,2,4,1,2,2,5,2,3,1,3,4,5,1,4,5,3,4,5,1,3,4,5,3,4,4,1,3
165,Green,DO NOTHING, ,DO NOTHING, ,ADD 3,incorrect,ADD 3,incorrect,DO NOTHING, ,ADD 3,incorrect,ADD 3,correct,ADD 3,correct,ADD 3,incorrect,ADD 3,incorrect,0.18,7,1.96,0.27,ADD 3,incorrect,ADD 3,correct,ADD 3,correct,ADD 3,incorrect,ADD 3,correct,ADD 3,incorrect,DO NOTHING, ,ADD 3,incorrect,ADD 3,correct,ADD 3,correct,0,7,1.48,0,ADD 3,correct,ADD 3,correct,ADD 3,correct,ADD 3,correct,ADD 3,correct,ADD 3,incorrect,ADD 3,correct,ADD 3,incorrect,ADD 3,incorrect,ADD 3,correct,0.04,7,0.74,7,ADD 3,correct,ADD 3,correct,ADD 3,correct,ADD 3,incorrect,ADD 3,correct,ADD 3,correct,ADD 3,incorrect,ADD 3,correct,ADD 3,incorrect,ADD 3,correct,0.21,7,1.37,0,ADD 3,incorrect,ADD 3,correct,ADD 3,correct,ADD 3,correct,ADD 3,correct,ADD 3,correct,ADD 3,correct,ADD 3,correct,ADD 3,incorrect,ADD 3,incorrect,0.24,6.31,1.71,0.02,ADD 3,correct,ADD 3,incorrect,ADD 3,incorrect,ADD 3,correct,ADD 3,correct,ADD 3,correct,ADD 3,correct,ADD 3,correct,ADD 3,correct,ADD 3,incorrect,0.11,6.87,1.14,0,ADD 3,correct,ADD 3,correct,ADD 3,correct,ADD 3,correct,ADD 3,correct,ADD 3,correct,ADD 3,correct,ADD 3,incorrect,ADD 3,correct,ADD 3,correct,0.24,5.63,2.69,0.11,ADD 3,correct,ADD 3,incorrect,ADD 3,correct,ADD 3,correct,ADD 3,incorrect,ADD 3,correct,ADD 3,correct,ADD 3,correct,ADD 3,correct,ADD 3,correct,0.17,4.78,2.34,0.4,No,Blue,5,3,2,3,2,2,3,3,2,2,4,2,3,2,4,2,4,2,3,1,5,6,7,6,6,7,1,4,1,3,4,3,1,3,3,4,3,3,3,3,3,4,3,4
166,Green,DO NOTHING, ,ADD 3,incorrect,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,ADD 3,incorrect,DO NOTHING, ,0.94,3.03,7,0.91,DO NOTHING, ,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,ADD 3,incorrect,DO NOTHING, ,1.03,4,7,2,DO NOTHING, ,ADD 3,incorrect,DO NOTHING, ,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,ADD 3,incorrect,DO NOTHING, ,ADD 3,incorrect,DO NOTHING, ,0.97,3.03,7,0.99,ADD 3,correct,ADD 3,incorrect,DO NOTHING, ,ADD 3,incorrect,ADD 3,incorrect,DO NOTHING, ,ADD 3,incorrect,ADD 3,correct,ADD 3,incorrect,DO NOTHING, ,0.92,3.03,6.02,1,ADD 3,correct,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,ADD 3,incorrect,DO NOTHING, ,ADD 3,correct,ADD 3,incorrect,DO NOTHING, ,ADD 3,incorrect,0.94,2.89,7,0.93,ADD 3,incorrect,DO NOTHING, ,ADD 3,correct,ADD 3,incorrect,ADD 3,correct,ADD 3,incorrect,ADD 3,correct,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,1,4.04,7,0.29,ADD 3,incorrect,ADD 3,correct,ADD 3,incorrect,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,ADD 3,correct,ADD 3,incorrect,ADD 3,incorrect,ADD 3,correct,0.35,4.97,7,0.81,ADD 3,correct,ADD 3,incorrect,ADD 3,correct,DO NOTHING, ,DO NOTHING, ,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,DO NOTHING, ,0.9,4.96,7,0.21,No,Blue,5,3,1,2,4,3,3,1,2,4,4,1,4,4,3,4,1,1,1,3,3,3,3,3,1,3,5,4,5,5,5,5,5,3,5,1,5,5,1,5,5,4,3,1
167,Yellow,DO NOTHING, ,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,0.91,4.19,7,1,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,1.01,5.04,7,3.98,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,ADD 3,115,0.98,6.97,7,5.09,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,2.87,5.9,7,7,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,3.12,7,7,7,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,3.94,6.69,7,6.96,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,1.07,7,7,7,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,1.01,7,7,7,Yes,Green,1,2,2,3,4,2,5,4,2,1,4,4,1,3,1,5,4,1,4,1,1,3,1,2,5,5, , , , , , , , , , , , , , , , , , 
168,Yellow,ADD 3,incorrect,DO NOTHING, ,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,ADD 3,incorrect,0,1.96,2.98,0.97,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,0,1.04,1.87,1.41,DO NOTHING, ,ADD 3,incorrect,DO NOTHING, ,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,0,0.54,3.44,4.65,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,ADD 3,correct,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,0,0.47,3.25,4.51,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,0,0.63,2.2,5.44,ADD 3,correct,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,0,0.35,3.75,3.82,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,0,0.55,2.87,3.65,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,ADD 3,correct,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,0,0.37,3.38,3.61,Yes,Blue,2,2,5,3,4,2,4,2,4,2,4,2,2,5,3,4,1,4,5,5,6,6,5,6,4,5,4,3,3,3,3,3,4,4,3,4,3,3,3,4,3,4,4,3
169,Yellow,DO NOTHING, ,ADD 3,incorrect,ADD 3,incorrect,DO NOTHING, ,ADD 3,incorrect,ADD 3,incorrect,DO NOTHING, ,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,0,4.02,5.42,0.82,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,DO NOTHING, ,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,0,5.08,5.04,0.59,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,DO NOTHING, ,ADD 3,incorrect,ADD 3,incorrect,DO NOTHING, ,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,0.76,4.95,5.22,0.64,ADD 3,correct,ADD 3,correct,ADD 3,incorrect,DO NOTHING, ,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,0,3.99,3.92,0.63,ADD 3,incorrect,ADD 3,correct,ADD 3,incorrect,ADD 3,incorrect,ADD 3,correct,ADD 3,correct,ADD 3,incorrect,ADD 3,correct,ADD 3,incorrect,ADD 3,incorrect,0,3.93,3.91,0.54,ADD 3,incorrect,ADD 3,incorrect,ADD 3,correct,ADD 3,incorrect,DO NOTHING, ,ADD 3,correct,ADD 3,incorrect,ADD 3,correct,ADD 3,correct,ADD 3,correct,0,4.02,2.98,0,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,ADD 3,correct,DO NOTHING, ,ADD 3,incorrect,ADD 3,correct,ADD 3,incorrect,ADD 3,correct,DO NOTHING, ,0,3,3.09,0,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,ADD 3,correct,ADD 3,incorrect,ADD 3,incorrect,ADD 3,correct,DO NOTHING, ,ADD 3,incorrect,ADD 3,incorrect,0,3.88,4.24,0.62,No,Blue,1,1,4,5,3,1,3,5,5,2,3,3,2,2,1,4,2,4,5,5,6,6,6,5,4,3,3,3,3,3,4,4,1,3,3,4,4,3,4,3,4,3,1,3
170,Green,DO NOTHING, ,ADD 3,correct,ADD 3,incorrect,DO NOTHING, ,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,ADD 3,correct,0,4.11,7,3.16,ADD 3,incorrect,ADD 3,correct,ADD 3,incorrect,ADD 3,correct,ADD 3,correct,ADD 3,incorrect,ADD 3,incorrect,ADD 3,correct,DO NOTHING, ,DO NOTHING, ,0,4.25,5.86,2.83,DO NOTHING, ,ADD 3,incorrect,ADD 3,incorrect,ADD 3,correct,ADD 3,correct,ADD 3,correct,ADD 3,correct,DO NOTHING, ,ADD 3,correct,ADD 3,correct,0,5.38,5,2.07,ADD 3,correct,ADD 3,correct,ADD 3,correct,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,ADD 3,correct,ADD 3,correct,ADD 3,incorrect,ADD 3,incorrect,0,5.98,6.06,0,ADD 3,incorrect,ADD 3,correct,ADD 3,incorrect,ADD 3,correct,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,ADD 3,correct,ADD 3,incorrect,ADD 3,correct,0,5.24,5.93,0,ADD 3,correct,ADD 3,correct,ADD 3,correct,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,0,6.13,6.12,0,ADD 3,correct,DO NOTHING, ,ADD 3,correct,ADD 3,correct,ADD 3,correct,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,ADD 3,incorrect,0,6.06,6.1,0,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,ADD 3,correct,0,6.16,6,0.09,No,Blue,2,2,2,1,2,2,4,1,2,4,4,1,3,4,2,4,2,2,5,2,6,2,3,3,2,3,4,3,4,4,4,4,1,1,4,5,4,5,1,4,4,4,4,4
171,Green,DO NOTHING, ,ADD 3,incorrect,DO NOTHING, ,ADD 3,incorrect,DO NOTHING, ,ADD 3,incorrect,DO NOTHING, ,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,0.04,6.16,5.13,1.96,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,ADD 3,incorrect,ADD 3,incorrect,ADD 3,correct,ADD 3,incorrect,ADD 3,correct,0.06,6.11,5.48,3.03,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,ADD 3,correct,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,0.17,6.11,5.54,3.45,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,0.25,1.98,0.09,0.06,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,0.12,5.58,6.06,3.61,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,ADD 3,incorrect,ADD 3,correct,0.19,6.04,6.09,2,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,ADD 3,correct,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,0.17,6.09,5.53,4.52,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,ADD 3,correct,DO NOTHING, ,1.01,6.16,4.56,4.61,Yes,Blue,4,3,2,2,2,2,2,4,3,3,4,2,2,4,3,4,4,4,5,2,2,5,2,2,4,2,4,3,4,3,3,3,3,3,4,3,4,4,3,3,3,3,3,3
172,Green,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,1.02,4,7,0.81,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,0.89,3.61,6.97,0.99,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,0.05,1.19,5.98,4.57,DO NOTHING, ,ADD 3,incorrect,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,1.12,4.38,7,2.95,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,0.01,6.09,7,5.94,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,0.93,6.96,6.06,3.98,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,0.93,6.95,5.25,6.23,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,0.35,7,7,7,No,Blue,3,2,2,2,3,3,2,1,2,5,4,1,3,3,4,4,3,2,1,3,1,1,1,3,1,3,3,1,5,3,5,5,1,1,4,1,4,5,1,5,4,4,3,3
173,Green,DO NOTHING, ,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,ADD 3,incorrect,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,ADD 3,correct,ADD 3,incorrect,0,1.03,7,0,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,ADD 3,correct,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,ADD 3,incorrect,0,2.09,7,0,DO NOTHING, ,DO NOTHING, ,ADD 3,correct,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,ADD 3,incorrect,ADD 3,incorrect,ADD 3,incorrect,0,1.08,6.91,0,DO NOTHING, ,DO NOTHING, ,ADD 3,correct,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,ADD 3,incorrect,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,0,1.07,6.98,0,DO NOTHING, ,ADD 3,correct,ADD 3,incorrect,ADD 3,incorrect,ADD 3,correct,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,ADD 3,incorrect,1,1.05,7,0,DO NOTHING, ,DO NOTHING, ,ADD 3,incorrect,ADD 3,correct,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,0.98,0.99,5.53,0,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,ADD 3,incorrect,ADD 3,correct,ADD 3,incorrect,ADD 3,incorrect,DO NOTHING, ,DO NOTHING, ,0.98,4.09,5.5,5.53,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,ADD 3,incorrect,ADD 3,correct,ADD 3,incorrect9,DO NOTHING, ,DO NOTHING, ,DO NOTHING, ,5.09,0.92,5.02,0.96,Yes,Blue,4,4,2,1,2,3,1,4,2,4,5,1,3,5,4,5,2,5,6,2,6,5,2,2,2,6,5,1,5,5,5,5,1,1,5,4,4,5,1,5,5,5,4,1
